gamma,time,basin
0.09109109109109109,297,2
0.0920920920920921,297,2
0.09309309309309309,296,2
0.0940940940940941,296,2
0.09509509509509509,296,2
0.0960960960960961,295,2
0.0970970970970971,295,2
0.0980980980980981,294,2
0.0990990990990991,294,2
0.10010010010010009,294,2
0.1011011011011011,293,2
0.1021021021021021,293,2
0.1031031031031031,292,2
0.1041041041041041,292,2
0.10510510510510511,292,2
0.1061061061061061,291,2
0.10710710710710711,291,2
0.10810810810810811,291,2
0.1091091091091091,290,2
0.11011011011011011,290,2
0.1111111111111111,289,2
0.11211211211211211,289,2
0.11311311311311312,289,2
0.11411411411411411,288,2
0.11511511511511512,288,2
0.11611611611611611,288,2
0.11711711711711711,287,2
0.11811811811811812,287,2
0.11911911911911911,286,2
0.12012012012012012,286,2
0.12112112112112113,286,2
0.12212212212212212,285,2
0.12312312312312312,285,2
0.12412412412412413,285,2
0.12512512512512514,284,2
0.12612612612612611,284,2
0.12712712712712712,284,2
0.12812812812812813,283,2
0.12912912912912913,283,2
0.13013013013013014,283,2
0.13113113113113112,282,2
0.13213213213213212,282,2
0.13313313313313313,281,2
0.13413413413413414,281,2
0.13513513513513514,281,2
0.13613613613613612,280,2
0.13713713713713713,280,2
0.13813813813813813,280,2
0.13913913913913914,279,2
0.14014014014014015,279,2
0.14114114114114115,279,2
0.14214214214214213,278,2
0.14314314314314314,278,2
0.14414414414414414,278,2
0.14514514514514515,277,2
0.14614614614614616,277,2
0.14714714714714713,277,2
0.14814814814814814,276,2
0.14914914914914915,276,2
0.15015015015015015,276,2
0.15115115115115116,276,2
0.15215215215215216,275,2
0.15315315315315314,275,2
0.15415415415415415,275,2
0.15515515515515516,274,2
0.15615615615615616,274,2
0.15715715715715717,274,2
0.15815815815815815,273,2
0.15915915915915915,273,2
0.16016016016016016,273,2
0.16116116116116116,272,2
0.16216216216216217,272,2
0.16316316316316315,272,2
0.16416416416416416,271,2
0.16516516516516516,271,2
0.16616616616616617,271,2
0.16716716716716717,271,2
0.16816816816816815,270,2
0.16916916916916916,270,2
0.17017017017017017,270,2
0.17117117117117117,269,2
0.17217217217217218,269,2
0.17317317317317318,269,2
0.17417417417417416,268,2
0.17517517517517517,268,2
0.17617617617617617,268,2
0.17717717717717718,268,2
0.1781781781781782,267,2
0.17917917917917917,267,2
0.18018018018018017,267,2
0.18118118118118118,266,2
0.18218218218218218,266,2
0.1831831831831832,266,2
0.1841841841841842,266,2
0.18518518518518517,265,2
0.18618618618618618,265,2
0.1871871871871872,265,2
0.1881881881881882,264,2
0.1891891891891892,264,2
0.19019019019019018,264,2
0.19119119119119118,264,2
0.1921921921921922,263,2
0.1931931931931932,263,2
0.1941941941941942,263,2
0.19519519519519518,262,2
0.1961961961961962,262,2
0.1971971971971972,262,2
0.1981981981981982,262,2
0.1991991991991992,261,2
0.20020020020020018,261,2
0.2012012012012012,261,2
